datetime,symbol,open,high,low,close,volume
2025-06-04 22:45:00,NYSE:UHAL,63.09,63.25,63.04,63.22,2409.0
2025-06-05 16:30:00,NYSE:UHAL,62.93,62.93,62.72,62.72,101.0
2025-06-05 16:45:00,NYSE:UHAL,62.77,62.77,62.51,62.51,15.0
2025-06-05 17:00:00,NYSE:UHAL,62.76,62.77,62.76,62.77,23.0
2025-06-05 17:15:00,NYSE:UHAL,62.79,62.8,62.55,62.78,277.0
2025-06-05 17:30:00,NYSE:UHAL,62.66,62.71,62.53,62.71,125.0
2025-06-05 17:45:00,NYSE:UHAL,62.64,62.64,62.56,62.56,4.0
2025-06-05 18:00:00,NYSE:UHAL,62.67,62.67,62.59,62.59,24.0
2025-06-05 18:15:00,NYSE:UHAL,62.72,62.72,62.72,62.72,6.0
2025-06-05 18:30:00,NYSE:UHAL,62.7,62.82,62.7,62.75,253.0
2025-06-05 18:45:00,NYSE:UHAL,62.81,62.81,62.81,62.81,1.0
2025-06-05 19:00:00,NYSE:UHAL,63.09,63.09,63.07,63.07,36.0
2025-06-05 19:15:00,NYSE:UHAL,63.0,63.12,63.0,63.12,239.0
2025-06-05 19:30:00,NYSE:UHAL,63.19,63.19,63.19,63.19,49.0
2025-06-05 19:45:00,NYSE:UHAL,63.05,63.06,62.99,63.06,342.0
2025-06-05 20:00:00,NYSE:UHAL,63.12,63.19,63.12,63.19,111.0
2025-06-05 20:15:00,NYSE:UHAL,63.15,63.22,63.15,63.22,70.0
2025-06-05 20:30:00,NYSE:UHAL,63.24,63.35,63.21,63.35,671.0
2025-06-05 20:45:00,NYSE:UHAL,63.4,63.41,63.23,63.34,336.0
2025-06-05 21:00:00,NYSE:UHAL,63.23,63.33,63.22,63.33,121.0
2025-06-05 21:15:00,NYSE:UHAL,63.25,63.34,63.19,63.34,1066.0
2025-06-05 21:30:00,NYSE:UHAL,63.31,63.31,63.27,63.27,109.0
2025-06-05 21:45:00,NYSE:UHAL,63.31,63.38,63.31,63.35,280.0
2025-06-05 22:00:00,NYSE:UHAL,63.37,63.37,63.27,63.27,361.0
2025-06-05 22:15:00,NYSE:UHAL,63.22,63.22,62.88,63.05,383.0
2025-06-05 22:30:00,NYSE:UHAL,62.975,63.04,62.82,62.82,216.0
2025-06-05 22:45:00,NYSE:UHAL,62.8,62.91,62.74,62.82,1204.0
2025-06-06 16:30:00,NYSE:UHAL,63.11,63.7,63.11,63.7,295.0
2025-06-06 16:45:00,NYSE:UHAL,63.47,63.47,63.47,63.47,1.0
2025-06-06 17:00:00,NYSE:UHAL,63.4,63.46,63.25,63.25,32.0
2025-06-06 17:15:00,NYSE:UHAL,63.41,63.495,63.41,63.495,201.0
2025-06-06 17:30:00,NYSE:UHAL,63.53,63.56,63.485,63.56,106.0
2025-06-06 17:45:00,NYSE:UHAL,63.5,63.625,63.48,63.48,216.0
2025-06-06 18:00:00,NYSE:UHAL,63.57,63.62,63.54,63.54,162.0
2025-06-06 18:15:00,NYSE:UHAL,63.48,63.48,63.42,63.42,137.0
2025-06-06 18:30:00,NYSE:UHAL,63.12,63.13,63.11,63.11,158.0
2025-06-06 18:45:00,NYSE:UHAL,63.2,63.2,63.2,63.2,5.0
2025-06-06 19:15:00,NYSE:UHAL,63.19,63.19,63.09,63.09,66.0
2025-06-06 19:30:00,NYSE:UHAL,63.09,63.125,62.8,62.86,359.0
2025-06-06 19:45:00,NYSE:UHAL,62.87,62.87,62.64,62.64,97.0
2025-06-06 20:00:00,NYSE:UHAL,62.64,62.64,62.56,62.56,304.0
2025-06-06 20:15:00,NYSE:UHAL,62.62,62.64,62.5,62.5,336.0
2025-06-06 20:30:00,NYSE:UHAL,62.58,62.77,62.58,62.76,636.0
2025-06-06 20:45:00,NYSE:UHAL,62.81,63.025,62.65,62.65,981.0
2025-06-06 21:00:00,NYSE:UHAL,62.76,63.04,62.75,62.88,1569.0
2025-06-06 21:15:00,NYSE:UHAL,62.92,62.97,62.92,62.97,34.0
2025-06-06 21:30:00,NYSE:UHAL,62.85,62.85,62.68,62.74,293.0
2025-06-06 21:45:00,NYSE:UHAL,62.7,62.83,62.69,62.69,1483.0
2025-06-06 22:00:00,NYSE:UHAL,62.79,62.8,62.77,62.8,46.0
2025-06-06 22:15:00,NYSE:UHAL,62.77,62.82,62.69,62.69,518.0
2025-06-06 22:30:00,NYSE:UHAL,62.73,62.78,62.68,62.7,905.0
2025-06-06 22:45:00,NYSE:UHAL,62.72,62.94,62.68,62.81,2004.0
2025-06-09 16:30:00,NYSE:UHAL,62.65,63.25,62.65,63.19,31.0
2025-06-09 16:45:00,NYSE:UHAL,63.06,63.06,62.55,62.71,558.0
2025-06-09 17:00:00,NYSE:UHAL,62.96,63.75,62.9,63.71,695.0
2025-06-09 17:15:00,NYSE:UHAL,63.51,63.61,63.4,63.5,367.0
2025-06-09 17:30:00,NYSE:UHAL,63.53,63.53,63.29,63.29,166.0
2025-06-09 17:45:00,NYSE:UHAL,63.36,63.37,63.14,63.31,120.0
2025-06-09 18:00:00,NYSE:UHAL,63.3,63.35,63.2,63.32,290.0
2025-06-09 18:15:00,NYSE:UHAL,63.32,63.525,63.31,63.44,357.0
2025-06-09 18:30:00,NYSE:UHAL,63.45,63.47,63.36,63.44,402.0
2025-06-09 18:45:00,NYSE:UHAL,63.42,63.59,63.42,63.53,179.0
2025-06-09 19:00:00,NYSE:UHAL,63.46,63.6,63.37,63.6,156.0
2025-06-09 19:15:00,NYSE:UHAL,63.59,63.66,63.57,63.66,88.0
2025-06-09 19:30:00,NYSE:UHAL,63.66,63.85,63.66,63.85,95.0
2025-06-09 19:45:00,NYSE:UHAL,63.8,63.9,63.8,63.83,247.0
2025-06-09 20:00:00,NYSE:UHAL,63.73,63.83,63.73,63.83,78.0
2025-06-09 20:15:00,NYSE:UHAL,63.86,63.86,63.8,63.8,63.0
2025-06-09 20:30:00,NYSE:UHAL,63.91,63.96,63.74,63.74,361.0
2025-06-09 20:45:00,NYSE:UHAL,63.74,63.74,63.6,63.6,85.0
2025-06-09 21:00:00,NYSE:UHAL,63.68,63.83,63.68,63.72,361.0
2025-06-09 21:15:00,NYSE:UHAL,63.7,63.8,63.67,63.8,262.0
2025-06-09 21:30:00,NYSE:UHAL,63.82,63.86,63.81,63.83,190.0
2025-06-09 21:45:00,NYSE:UHAL,63.805,63.84,63.74,63.84,598.0
2025-06-09 22:00:00,NYSE:UHAL,63.8,63.87,63.7,63.7,540.0
2025-06-09 22:15:00,NYSE:UHAL,63.69,63.78,63.68,63.71,862.0
2025-06-09 22:30:00,NYSE:UHAL,63.68,63.73,63.61,63.61,635.0
2025-06-09 22:45:00,NYSE:UHAL,63.63,63.74,63.45,63.45,1852.0
2025-06-10 16:45:00,NYSE:UHAL,63.79,63.79,63.68,63.68,15.0
2025-06-10 17:00:00,NYSE:UHAL,63.92,64.0,63.92,64.0,19.0
2025-06-10 17:15:00,NYSE:UHAL,64.15,64.35,64.11,64.35,219.0
2025-06-10 17:30:00,NYSE:UHAL,64.11,64.35,64.11,64.35,75.0
2025-06-10 17:45:00,NYSE:UHAL,64.305,64.5,64.24,64.3,991.0
2025-06-10 18:00:00,NYSE:UHAL,64.44,64.61,64.44,64.61,54.0
2025-06-10 18:15:00,NYSE:UHAL,64.45,64.45,64.35,64.35,64.0
2025-06-10 18:45:00,NYSE:UHAL,64.36,64.36,64.2,64.35,424.0
2025-06-10 19:00:00,NYSE:UHAL,64.49,64.49,64.33,64.33,17.0
2025-06-10 19:15:00,NYSE:UHAL,64.39,64.39,64.39,64.39,6.0
2025-06-10 19:30:00,NYSE:UHAL,64.47,64.72,64.47,64.56,928.0
2025-06-10 19:45:00,NYSE:UHAL,64.69,64.69,64.56,64.56,81.0
2025-06-10 20:00:00,NYSE:UHAL,64.54,64.6,64.48,64.59,404.0
2025-06-10 20:15:00,NYSE:UHAL,64.47,64.47,64.38,64.38,242.0
2025-06-10 20:30:00,NYSE:UHAL,64.32,64.37,64.32,64.37,9.0
2025-06-10 20:45:00,NYSE:UHAL,64.29,64.37,64.28,64.37,562.0
2025-06-10 21:00:00,NYSE:UHAL,64.32,64.33,64.19,64.19,528.0
2025-06-10 21:15:00,NYSE:UHAL,64.19,64.21,64.16,64.16,132.0
