datetime,symbol,open,high,low,close,volume
2025-07-10 17:00:00,NYSE:UNH,299.81,300.83,299.33,300.68,66153.0
2025-07-10 17:15:00,NYSE:UNH,300.77,301.7,300.37,301.18,69328.0
2025-07-10 17:30:00,NYSE:UNH,301.24,303.14,300.69,302.79,71357.0
2025-07-10 17:45:00,NYSE:UNH,302.835,303.53,302.64,303.09,45994.0
2025-07-10 18:00:00,NYSE:UNH,303.11,304.82,303.1,304.39,80077.0
2025-07-10 18:15:00,NYSE:UNH,304.44,304.91,302.81,302.93,59962.0
2025-07-10 18:30:00,NYSE:UNH,303.0,303.07,302.02,302.04,35061.0
2025-07-10 18:45:00,NYSE:UNH,302.03,302.245,300.84,300.84,36860.0
2025-07-10 19:00:00,NYSE:UNH,300.9,301.73,300.4,301.19,27813.0
2025-07-10 19:15:00,NYSE:UNH,301.11,302.22,301.09,302.13,29971.0
2025-07-10 19:30:00,NYSE:UNH,302.1,302.53,302.05,302.43,16879.0
2025-07-10 19:45:00,NYSE:UNH,302.44,303.01,302.1,302.56,18597.0
2025-07-10 20:00:00,NYSE:UNH,302.59,303.12,302.27,302.93,14591.0
2025-07-10 20:15:00,NYSE:UNH,302.945,303.5,302.86,302.86,24719.0
2025-07-10 20:30:00,NYSE:UNH,302.91,303.49,302.37,302.61,13473.0
2025-07-10 20:45:00,NYSE:UNH,302.59,303.1,302.4,302.9,14858.0
2025-07-10 21:00:00,NYSE:UNH,302.89,303.0,302.5,302.62,8033.0
2025-07-10 21:15:00,NYSE:UNH,302.69,302.88,302.42,302.75,10013.0
2025-07-10 21:30:00,NYSE:UNH,302.78,302.9,301.64,301.92,21671.0
2025-07-10 21:45:00,NYSE:UNH,301.95,302.0,301.24,301.32,21626.0
2025-07-10 22:00:00,NYSE:UNH,301.26,301.78,301.22,301.7,23287.0
2025-07-10 22:15:00,NYSE:UNH,301.63,302.14,301.08,301.3,24820.0
2025-07-10 22:30:00,NYSE:UNH,301.27,301.37,300.5,300.68,44287.0
2025-07-10 22:45:00,NYSE:UNH,300.69,300.87,298.65,299.39,128555.0
2025-07-10 23:00:00,NYSE:UNH,299.64,299.7,299.25,299.63,2120.0
2025-07-10 23:15:00,NYSE:UNH,299.6,299.85,299.59,299.84,1700.0
2025-07-10 23:30:00,NYSE:UNH,299.84,299.96,299.71,299.86,2191.0
2025-07-10 23:45:00,NYSE:UNH,299.92,300.16,299.87,300.14,706.0
2025-07-11 00:00:00,NYSE:UNH,300.15,300.15,299.99,300.1,517.0
2025-07-11 00:15:00,NYSE:UNH,300.1,300.13,300.0,300.0,565.0
2025-07-11 00:30:00,NYSE:UNH,300.09,300.2,300.0,300.17,243.0
2025-07-11 00:45:00,NYSE:UNH,300.19,300.2,300.1,300.19,156.0
