datetime,symbol,open,high,low,close,volume
2025-05-19 15:45:00,NYSE:X,40.1,40.1,40.1,40.1,90.0
2025-05-19 16:15:00,NYSE:X,40.11,40.12,40.04,40.04,649.0
2025-05-19 16:30:00,NYSE:X,40.14,40.21,39.74,39.74,13948.0
2025-05-19 16:45:00,NYSE:X,39.74,40.21,39.66,40.16,15874.0
2025-05-19 17:00:00,NYSE:X,40.17,40.26,40.06,40.22,4117.0
2025-05-19 17:15:00,NYSE:X,40.24,40.87,39.61,39.925,170540.0
2025-05-19 17:30:00,NYSE:X,39.91,40.47,39.63,40.28,86694.0
2025-05-19 17:45:00,NYSE:X,40.31,40.7,40.28,40.6,30584.0
2025-05-19 18:00:00,NYSE:X,40.6,40.95,40.55,40.94,17597.0
2025-05-19 18:15:00,NYSE:X,40.96,40.98,40.72,40.86,13751.0
2025-05-19 18:30:00,NYSE:X,40.88,41.215,40.86,41.06,33511.0
2025-05-19 18:45:00,NYSE:X,41.05,41.05,40.96,40.99,3963.0
2025-05-19 19:00:00,NYSE:X,41.0,41.0,40.81,40.84,7173.0
2025-05-19 19:15:00,NYSE:X,40.86,41.01,40.85,41.0,3819.0
2025-05-19 19:30:00,NYSE:X,40.99,40.99,40.87,40.95,3691.0
2025-05-19 19:45:00,NYSE:X,40.97,41.03,40.92,40.98,6293.0
2025-05-19 20:00:00,NYSE:X,40.985,41.08,40.97,41.05,10667.0
2025-05-19 20:15:00,NYSE:X,41.04,41.15,41.01,41.14,5267.0
2025-05-19 20:30:00,NYSE:X,41.13,41.13,40.96,40.97,4763.0
2025-05-19 20:45:00,NYSE:X,40.96,41.04,40.95,41.01,6602.0
2025-05-19 21:00:00,NYSE:X,41.01,41.09,41.005,41.09,4559.0
2025-05-19 21:15:00,NYSE:X,41.08,41.21,41.05,41.105,10243.0
2025-05-19 21:30:00,NYSE:X,41.11,41.16,41.05,41.16,16072.0
2025-05-19 21:45:00,NYSE:X,41.13,41.24,41.09,41.21,6850.0
2025-05-19 22:00:00,NYSE:X,41.24,41.33,41.22,41.3,4073.0
2025-05-19 22:15:00,NYSE:X,41.29,41.4,41.29,41.33,8826.0
2025-05-19 22:30:00,NYSE:X,41.32,41.46,41.285,41.41,12268.0
2025-05-19 22:45:00,NYSE:X,41.41,41.685,41.41,41.6,45842.0
2025-05-19 23:00:00,NYSE:X,41.65,41.65,41.65,41.65,10.0
2025-05-19 23:15:00,NYSE:X,41.62,41.62,41.62,41.62,1.0
2025-05-19 23:30:00,NYSE:X,41.62,41.67,41.5,41.5,441.0
2025-05-19 23:45:00,NYSE:X,41.39,41.39,41.33,41.35,19.0
2025-05-20 00:45:00,NYSE:X,41.6,41.89,41.6,41.89,1029.0
2025-05-20 01:00:00,NYSE:X,41.7,41.7,41.7,41.7,1.0
2025-05-20 01:45:00,NYSE:X,41.74,41.8,41.71,41.71,222.0
2025-05-20 02:00:00,NYSE:X,41.81,41.81,41.81,41.81,1.0
2025-05-20 02:45:00,NYSE:X,41.9,42.0,41.9,42.0,359.0
2025-05-20 11:00:00,NYSE:X,42.0,42.35,41.67,42.35,416.0
2025-05-20 11:30:00,NYSE:X,42.0,42.0,42.0,42.0,29.0
2025-05-20 12:00:00,NYSE:X,42.0,42.26,42.0,42.26,285.0
2025-05-20 12:15:00,NYSE:X,42.0,42.0,41.87,41.87,7.0
2025-05-20 13:00:00,NYSE:X,42.32,42.57,42.32,42.5,1896.0
2025-05-20 13:15:00,NYSE:X,42.24,42.24,42.24,42.24,50.0
2025-05-20 13:45:00,NYSE:X,42.2,42.2,42.2,42.2,4.0
2025-05-20 14:00:00,NYSE:X,42.21,42.24,42.0,42.05,147.0
2025-05-20 14:15:00,NYSE:X,41.86,41.86,41.86,41.86,100.0
2025-05-20 14:30:00,NYSE:X,41.98,41.98,41.98,41.98,10.0
2025-05-20 15:15:00,NYSE:X,41.98,41.98,41.98,41.98,12.0
2025-05-20 16:30:00,NYSE:X,41.86,42.06,41.38,41.47,23716.0
2025-05-20 16:45:00,NYSE:X,41.51,41.56,41.38,41.41,14997.0
2025-05-20 17:00:00,NYSE:X,41.4,41.45,41.06,41.07,29682.0
2025-05-20 17:15:00,NYSE:X,41.09,41.15,41.0,41.05,22963.0
2025-05-20 17:30:00,NYSE:X,41.06,41.09,40.92,41.09,20421.0
2025-05-20 17:45:00,NYSE:X,41.12,41.17,41.07,41.1,11131.0
2025-05-20 18:00:00,NYSE:X,41.07,41.21,41.02,41.14,20614.0
2025-05-20 18:15:00,NYSE:X,41.11,41.27,41.11,41.21,12619.0
2025-05-20 18:30:00,NYSE:X,41.2,41.24,41.14,41.15,9569.0
2025-05-20 18:45:00,NYSE:X,41.16,41.46,40.96,41.13,55642.0
2025-05-20 19:00:00,NYSE:X,41.11,41.11,40.64,40.86,36937.0
2025-05-20 19:15:00,NYSE:X,40.865,41.05,40.84,40.995,12803.0
2025-05-20 19:30:00,NYSE:X,40.98,40.98,40.82,40.91,13314.0
2025-05-20 19:45:00,NYSE:X,40.9,40.9,40.69,40.8,29813.0
2025-05-20 20:00:00,NYSE:X,40.81,40.96,40.79,40.95,15181.0
2025-05-20 20:15:00,NYSE:X,40.96,41.01,40.8,40.81,12650.0
2025-05-20 20:30:00,NYSE:X,40.82,40.85,40.76,40.78,4912.0
2025-05-20 20:45:00,NYSE:X,40.78,40.815,40.67,40.77,11902.0
2025-05-20 21:00:00,NYSE:X,40.76,40.96,40.76,40.96,5100.0
2025-05-20 21:15:00,NYSE:X,40.97,41.0,40.85,40.85,8198.0
2025-05-20 21:30:00,NYSE:X,40.84,40.94,40.78,40.94,7852.0
2025-05-20 21:45:00,NYSE:X,40.96,41.15,40.95,41.09,10331.0
2025-05-20 22:00:00,NYSE:X,41.08,41.08,40.91,41.0,7429.0
2025-05-20 22:15:00,NYSE:X,40.97,41.01,40.84,40.94,16358.0
2025-05-20 22:30:00,NYSE:X,40.97,41.07,40.97,41.03,82569.0
2025-05-20 22:45:00,NYSE:X,41.04,41.21,41.03,41.21,113222.0
2025-05-20 23:00:00,NYSE:X,41.19,41.19,41.02,41.02,26.0
2025-05-21 02:00:00,NYSE:X,41.19,41.19,41.19,41.19,35.0
2025-05-21 11:00:00,NYSE:X,41.08,41.44,41.08,41.22,5.0
2025-05-21 11:15:00,NYSE:X,41.22,41.22,41.22,41.22,1.0
2025-05-21 11:30:00,NYSE:X,41.22,41.22,41.22,41.22,47.0
2025-05-21 12:15:00,NYSE:X,41.25,41.25,41.25,41.25,2.0
2025-05-21 13:00:00,NYSE:X,41.18,41.18,41.18,41.18,1.0
2025-05-21 13:45:00,NYSE:X,41.18,41.18,41.18,41.18,30.0
2025-05-21 14:15:00,NYSE:X,41.15,41.15,41.15,41.15,4.0
