datetime,symbol,open,high,low,close,volume
2025-06-05 17:30:00,TVC:DJI,42385.14,42479.4,42277.24,42428.82,0.0
2025-06-05 17:45:00,TVC:DJI,42429.09,42480.38,42398.43,42471.21,0.0
2025-06-05 18:00:00,TVC:DJI,42469.81,42509.42,42468.75,42499.16,0.0
2025-06-05 18:15:00,TVC:DJI,42499.27,42559.16,42491.03,42554.35,0.0
2025-06-05 18:30:00,TVC:DJI,42555.14,42577.97,42545.11,42557.05,0.0
2025-06-05 18:45:00,TVC:DJI,42557.22,42578.54,42531.0,42562.46,0.0
2025-06-05 19:00:00,TVC:DJI,42562.36,42601.44,42558.87,42566.31,0.0
2025-06-05 19:15:00,TVC:DJI,42566.82,42568.69,42514.73,42557.77,0.0
2025-06-05 19:30:00,TVC:DJI,42557.84,42562.12,42510.17,42510.17,0.0
2025-06-05 19:45:00,TVC:DJI,42510.39,42510.39,42363.18,42398.36,0.0
2025-06-05 20:00:00,TVC:DJI,42397.42,42476.33,42379.52,42476.33,0.0
2025-06-05 20:15:00,TVC:DJI,42478.38,42515.52,42478.38,42507.35,0.0
2025-06-05 20:30:00,TVC:DJI,42506.64,42548.52,42506.07,42542.24,0.0
2025-06-05 20:45:00,TVC:DJI,42542.51,42559.49,42484.8,42486.77,0.0
2025-06-05 21:00:00,TVC:DJI,42485.35,42496.75,42394.28,42418.34,0.0
2025-06-05 21:15:00,TVC:DJI,42418.37,42449.91,42314.03,42442.97,0.0
2025-06-05 21:30:00,TVC:DJI,42442.98,42494.64,42440.94,42482.89,0.0
2025-06-05 21:45:00,TVC:DJI,42482.73,42504.3,42469.61,42474.26,0.0
2025-06-05 22:00:00,TVC:DJI,42474.02,42490.74,42393.06,42400.98,0.0
2025-06-05 22:15:00,TVC:DJI,42400.92,42421.22,42211.68,42266.68,0.0
2025-06-05 22:30:00,TVC:DJI,42267.21,42414.7,42267.21,42372.7,0.0
2025-06-05 22:45:00,TVC:DJI,42371.21,42411.84,42269.57,42324.59,0.0
2025-06-06 16:30:00,TVC:DJI,42631.81,42909.0,42631.81,42906.35,0.0
2025-06-06 16:45:00,TVC:DJI,42905.53,42924.55,42826.18,42870.28,0.0
2025-06-06 17:00:00,TVC:DJI,42875.4,42882.19,42814.37,42846.72,0.0
2025-06-06 17:15:00,TVC:DJI,42847.13,42871.14,42807.61,42823.6,0.0
2025-06-06 17:30:00,TVC:DJI,42823.41,42833.2,42777.83,42806.47,0.0
2025-06-06 17:45:00,TVC:DJI,42806.51,42812.71,42759.94,42763.78,0.0
2025-06-06 18:00:00,TVC:DJI,42764.51,42833.06,42762.51,42782.16,0.0
2025-06-06 18:15:00,TVC:DJI,42782.07,42782.31,42604.44,42680.96,0.0
2025-06-06 18:30:00,TVC:DJI,42682.52,42692.27,42642.48,42681.61,0.0
2025-06-06 18:45:00,TVC:DJI,42679.9,42732.37,42672.61,42694.28,0.0
2025-06-06 19:00:00,TVC:DJI,42693.68,42735.06,42692.59,42716.25,0.0
2025-06-06 19:15:00,TVC:DJI,42716.3,42716.34,42682.59,42708.27,0.0
2025-06-06 19:30:00,TVC:DJI,42708.31,42726.4,42630.07,42644.94,0.0
2025-06-06 19:45:00,TVC:DJI,42644.41,42662.49,42582.56,42629.08,0.0
2025-06-06 20:00:00,TVC:DJI,42628.97,42634.24,42587.67,42613.71,0.0
2025-06-06 20:15:00,TVC:DJI,42613.73,42671.13,42602.8,42651.99,0.0
2025-06-06 20:30:00,TVC:DJI,42652.1,42682.86,42651.35,42678.11,0.0
2025-06-06 20:45:00,TVC:DJI,42678.04,42698.92,42673.82,42685.78,0.0
2025-06-06 21:00:00,TVC:DJI,42685.37,42756.81,42685.22,42745.15,0.0
2025-06-06 21:15:00,TVC:DJI,42745.35,42772.51,42738.54,42738.94,0.0
2025-06-06 21:30:00,TVC:DJI,42739.82,42802.97,42739.36,42766.95,0.0
2025-06-06 21:45:00,TVC:DJI,42766.96,42782.7,42741.46,42760.23,0.0
2025-06-06 22:00:00,TVC:DJI,42760.01,42781.86,42752.85,42767.1,0.0
2025-06-06 22:15:00,TVC:DJI,42768.22,42794.89,42760.86,42771.07,0.0
2025-06-06 22:30:00,TVC:DJI,42770.78,42784.99,42750.44,42763.77,0.0
2025-06-06 22:45:00,TVC:DJI,42763.91,42805.67,42755.78,42759.14,0.0
2025-06-09 16:30:00,TVC:DJI,42786.18,42789.41,42650.0,42693.33,0.0
2025-06-09 16:45:00,TVC:DJI,42694.34,42730.65,42648.16,42654.55,0.0
2025-06-09 17:00:00,TVC:DJI,42655.04,42668.66,42620.35,42642.5,0.0
2025-06-09 17:15:00,TVC:DJI,42642.35,42675.48,42627.93,42657.41,0.0
2025-06-09 17:30:00,TVC:DJI,42657.53,42686.64,42584.15,42599.28,0.0
2025-06-09 17:45:00,TVC:DJI,42599.67,42651.01,42567.56,42650.29,0.0
2025-06-09 18:00:00,TVC:DJI,42651.27,42682.01,42648.65,42651.84,0.0
2025-06-09 18:15:00,TVC:DJI,42652.01,42691.44,42650.24,42659.03,0.0
2025-06-09 18:30:00,TVC:DJI,42659.05,42723.41,42658.07,42718.74,0.0
2025-06-09 18:45:00,TVC:DJI,42718.67,42753.11,42718.67,42731.81,0.0
2025-06-09 19:00:00,TVC:DJI,42731.94,42750.79,42703.44,42750.52,0.0
2025-06-09 19:15:00,TVC:DJI,42750.55,42766.17,42746.04,42762.49,0.0
2025-06-09 19:30:00,TVC:DJI,42762.93,42783.03,42754.03,42779.8,0.0
2025-06-09 19:45:00,TVC:DJI,42780.1,42834.71,42779.13,42799.86,0.0
2025-06-09 20:00:00,TVC:DJI,42799.64,42838.23,42799.09,42835.0,0.0
2025-06-09 20:15:00,TVC:DJI,42835.59,42870.25,42800.07,42866.33,0.0
2025-06-09 20:30:00,TVC:DJI,42867.14,42870.97,42844.33,42861.59,0.0
2025-06-09 20:45:00,TVC:DJI,42861.61,42883.14,42854.73,42862.73,0.0
2025-06-09 21:00:00,TVC:DJI,42862.86,42891.7,42857.77,42888.09,0.0
2025-06-09 21:15:00,TVC:DJI,42888.3,42893.1,42873.19,42874.7,0.0
2025-06-09 21:30:00,TVC:DJI,42875.49,42883.44,42826.99,42843.15,0.0
2025-06-09 21:45:00,TVC:DJI,42843.24,42869.75,42838.55,42856.0,0.0
2025-06-09 22:00:00,TVC:DJI,42855.83,42868.1,42840.72,42844.1,0.0
